arm_id,runs,final_success_rate,first_attempt_success_rate,hidden_pass_rate,hidden_passed,hidden_total,mean_token_total,median_token_total,stdev_token_total,min_token_total,max_token_total,mean_token_ratio_vs_full,median_token_ratio_vs_full,mean_interaction_rounds,mean_rework_count,mean_changed_file_count,leakage_passed_runs,trace_complete_runs,mean_file_read_events,mean_unique_files_read,mean_search_events,mean_repeated_search_events,mean_test_runs,mean_edit_events,mean_interface_guess_events,mean_ineffective_edit_attempts,mean_rollback_events,mean_pre_edit_discovery_events
A_full,3,1,1,1.0,30,30,305977.6666666667,216962,185530.5850158764,181729,519242,1.0,1.0,1,0,4.333333333333333,3,3,17,17.333333333333332,2,0,2.6666666666666665,2.3333333333333335,0,0,0,16.666666666666668
D_no_verification,3,1,1,1.0,30,30,264418.3333333333,258100,16832.695694193884,251659,283496,0.864175272051446,1.1896092403277994,1,0,4.666666666666667,3,3,20.333333333333332,20.666666666666668,2,0,2.3333333333333335,2.3333333333333335,0,0,0,21
E_no_unfinished_items,3,1,1,1.0,30,30,227372.66666666666,209129,64021.646748059626,174453,298536,0.7431021654085864,0.9638969036052396,1,0,4,3,3,19,19,2.6666666666666665,0,2,1.6666666666666667,0,0,0,20.666666666666668
H_no_handoff,3,1,1,1.0,30,30,367143.6666666667,306984,123450.0543796289,285306,509141,1.199903478794204,1.414920585171597,1,0,5.333333333333333,3,3,28.666666666666668,26.333333333333332,3,0.3333333333333333,2,2,0,0,0,27.666666666666668
